,n_subintervals,iter,time
0,100000000, 1,0.405979
1,100000000, 2,0.403965
2,100000000, 3,0.406020
3,100000000, 4,0.413316
4,1000000000, 1,4.044194
5,1000000000, 2,4.044983
6,1000000000, 3,4.069889
7,1000000000, 4,4.047182
8,2000000000, 1,8.108329
9,2000000000, 2,8.098637
10,2000000000, 3,8.081794
11,2000000000, 4,8.088650
